allmusic,discogs,lastfm,tagtraum
country---country-pop,,,country---countrypop
jazz---contemporary jazz,jazz---contemporary jazz,,jazz---contemporaryjazz
country,,,country
,jazz---cool jazz,,jazz---cooljazz
country---bluegrass,,,country---bluegrass
electronic---trip-hop,electronic---trip hop,,electronic---triphop
reggae---ska,reggae---ska,,reggae---ska
electronic---trance,electronic---trance,,
jazz---latin jazz,jazz---latin jazz,,jazz---latinjazz
,electronic---breakbeat,,electronic---breakbeat
blues---country blues,blues---country blues,,
electronic---tech-house,electronic---tech house,,
blues---chicago blues,blues---chicago blues,,
electronic---electro,electronic---electro,,electronic---elektro
country---alternative country,,,country---alternativecountry
reggae---dancehall,reggae---dancehall,,reggae---dancehall
folk,,,folk
reggae---ragga,reggae---ragga,,
classical---opera,classical---opera,,classical---opera
country---traditional country,,,country---traditionalcountry
electronic---glitch,electronic---glitch,,electronic---glitch
electronic---big beat,electronic---big beat,,electronic---bigbeat
reggae---roots reggae,reggae---roots reggae,,reggae---rootsreggae
electronic---house,electronic---house,,
jazz---modern jazz,,,jazz---modernjazz
blues---acoustic blues,,,blues---acousticblues
electronic---edm,electronic---ebm,,
country---americana,,,country---americana
,classical---baroque,,classical---baroque
electronic---dubstep,electronic---dubstep,,
reggae,reggae,,reggae
electronic---chiptunes,electronic---chiptune,,
electronic,electronic,,electronic
jazz---post-bop,jazz---post bop,,jazz---postbop
folk---contemporary folk,,,folk---contemporaryfolk
classical,classical,,classical
jazz---bop,jazz---bop,,jazz---bop
,hip hop,,hiphop
jazz---soul jazz,jazz---soul-jazz,,jazz---souljazz
electronic---downtempo,electronic---downtempo,,electronic---downtempo
latin,latin,,latin
jazz---swing,jazz---swing,,jazz---swing
reggae---dub,reggae---dub,,reggae---dub
electronic---dark ambient,electronic---dark ambient,,
electronic---techno,electronic---techno,,
new age,,,newage
electronic---progressive house,electronic---progressive house,,
jazz---big band,jazz---big band,,jazz---bigband
,electronic---ambient,,electronic---ambient
blues---electric blues,blues---electric blues,,blues---electricblues
electronic---idm,electronic---idm,,electronic---idm
jazz---hard bop,jazz---hard bop,,jazz---hardbop
jazz---free jazz,jazz---free jazz,,
folk---irish folk,,,folk---irishfolk
jazz---jazz-funk,jazz---jazz-funk,,
electronic---breakcore,electronic---breakcore,,electronic---breakcore
jazz---smooth jazz,jazz---smooth jazz,,jazz---smoothjazz
children's,children's,,
blues---delta blues,blues---delta blues,,
electronic---progressive trance,electronic---progressive trance,,
blues,blues,,blues
jazz,jazz,,jazz
